NxN,Time,Parallelization,Location,mpi_size
10,0.0006425380706787,True,cloudlab,4
10,0.0011689662933349,True,Google Colab,1
10,0.0023620128631591,False,Google Colab,1
10,0.0060393810272216,False,pc,2
10,0.0391120910644531,True,pc,2
100,0.2183372974395752,True,cloudlab,4
100,0.96647310256958,True,Google Colab,1
100,1.4602372646331787,True,pc,2
100,2.370361328125,False,pc,2
100,2.883405923843384,False,Google Colab,1
500,26.359883308410645,True,cloudlab,4
500,136.74091029167175,True,Google Colab,1
500,141.06255507469177,False,Google Colab,1
500,170.45851612091064,True,pc,2
500,261.90670013427734,False,pc,2
1000,212.4242141246796,True,cloudlab,4
1000,1086.8327088356018,False,Google Colab,1
1000,1099.28471326828,True,Google Colab,1
1000,1103.5922939777374,True,pc,2
1000,2106.097992181778,False,pc,2
